27 32
Garfield Sylvester 2
BillTheCat Felix 4
Figaro Heathcliff 1
Jinx KlondikeKat 3
PussInBoots Toonces 5
Toonces KlondikeKat 2
BillTheCat Jinx 4
Figaro Heathcliff 3
Garfield KlondikeKat 1
Heathcliff Felix 4
Figaro Heathcliff 2
Jinx Garfield 1
Snoopy Lassie 1
Cujo Triumph 3
Barkley Bingo 5
Farfel Underdog 2
Puddles Marmaduke 4
ScoobyDoo OldYeller 1
Reveille RinTinTin 3
Spike Toto 1
Odie Barkley 2
Farfel OldYeller 4
Spike Snoopy 1
Barkley Marmaduke 3
Cujo OldYeller 5
Spike Toto 3
OldYeller Triumph 2
Puddles Snoopy 1
Lassie Barkley 3
Bingo Cujo 4
Farfel Reveille 2
ScoobyDoo Underdog 1
